,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,probability,prediction
12,AnaPetar,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[0.38778242913983063,5.85689422751798e-16,0.6122175708601687]",2
13,AnBn,Ordinary - Registered,0.5,0.4166666666666667,0.08333333333333333,12.0,Follower,0,"[0.5,0.4166666666666667,0.08333333333333333]","[0.6806916344130778,3.719213949492597e-16,0.3193083655869218]",0
14,Ando Saina,Ordinary - Registered,1.0,0.0,0.0,11.0,Follower,0,"[1.0,0.0,0.0]","[0.9252810332549992,2.3508275659190983e-15,0.0747189667449984]",0
15,Andraž Šunkar,Ordinary - Registered,0.8181818181818182,0.18181818181818182,0.0,11.0,Follower,0,"[0.8181818181818182,0.18181818181818182,0.0]","[0.8628260863617331,8.797455606326022e-16,0.13717391363826617]",0
16,andrea vlastelica,Ordinary - Registered,0.5,0.4166666666666667,0.08333333333333333,12.0,Follower,0,"[0.5,0.4166666666666667,0.08333333333333333]","[0.6806916344130778,3.719213949492597e-16,0.3193083655869218]",0
17,andrea zavorovic,Ordinary - Registered,0.125,0.0,0.875,8.0,Independant,1,"[0.125,0.0,0.875]","[0.8085020946503636,8.450935455851917e-15,0.19149790534962793]",0
18,Andrej_A,Ordinary - Registered,0.2727272727272727,0.7272727272727273,0.0,11.0,Catch-upper,2,"[0.2727272727272727,0.7272727272727273,0.0]","[0.41105166699207163,5.560821519337946e-16,0.5889483330079278]",2
19,Andro Zuanic,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6426276043455645,4.454524995303734e-16,0.357372395654435]",0
20,andrzej,Ordinary - Registered,0.5,0.25,0.25,4.0,Follower,0,"[0.5,0.25,0.25]","[0.7344248118090032,3.651943863197098e-16,0.2655751881909964]",0
21,ane,Ordinary - Registered,0.125,0.875,0.0,8.0,Catch-upper,2,"[0.125,0.875,0.0]","[0.2693310913533239,8.581373495913879e-16,0.7306689086466753]",2
22,Anela,Ordinary - Registered,0.25,0.5,0.25,4.0,Catch-upper,2,"[0.25,0.5,0.25]","[0.5869809335981859,3.832615637702713e-16,0.4130190664018137]",0
23,Ankica,Ordinary - Registered,0.09090909090909091,0.45454545454545453,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.09090909090909091,0.45454545454545453,0.45454545454545453]","[0.6410080306536857,7.407825617689915e-16,0.35899196934631367]",0
24,Annie,Ordinary - Registered,1.0,0.0,0.0,13.0,Follower,0,"[1.0,0.0,0.0]","[0.9252810332549992,2.3508275659190983e-15,0.0747189667449984]",0
25,ante vrataric,Ordinary - Registered,0.3333333333333333,0.16666666666666666,0.5,6.0,Mixed - No predominent behavior,3,"[0.3333333333333333,0.16666666666666666,0.5]","[0.7352008312421111,6.342789185826381e-16,0.26479916875788834]",0
26,anton janeš,Ordinary - Registered,0.36363636363636365,0.2727272727272727,0.36363636363636365,11.0,Mixed - No predominent behavior,3,"[0.36363636363636365,0.2727272727272727,0.36363636363636365]","[0.7048384992562815,4.0013755067430285e-16,0.29516150074371816]",0
27,Anze-G,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[0.38778242913983063,5.85689422751798e-16,0.6122175708601687]",2
28,Anzze99,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,9.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[0.7778672262010862,5.444938315668724e-16,0.2221327737989133]",0
29,Apsirtgirl,Ordinary - Registered,0.7142857142857143,0.2857142857142857,0.0,7.0,Follower,0,"[0.7142857142857143,0.2857142857142857,0.0]","[0.8083659725910066,6.132898422692097e-16,0.19163402740899274]",0
30,benjamin,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.16666666666666666,0.8333333333333334,0.0]","[0.30659127979346007,7.41787614626873e-16,0.6934087202065392]",2
